plan_count,path,plans
2,src/python/fods/writer.py,iterative-mixing-shannon.md | peppy-crafting-lark.md
2,src/python/{format}/,cheeky-crafting-manatee.md | elegant-napping-minsky.md
2,tests/,golden-foraging-boot.md | vast-wibbling-moon.md
2,tests/**,memoized-frolicking-donut.md | optimized-meandering-giraffe.md
2,tests/fods,golden-foraging-boot.md | vast-wibbling-moon.md
2,tests/net,fizzy-imagining-hinton.md | modular-noodling-galaxy.md
2,tests/net/fods,golden-foraging-boot.md | splendid-squishing-orbit.md
2,tests/net/fods/,golden-foraging-boot.md | splendid-squishing-orbit.md
2,tests/python,fizzy-imagining-hinton.md | spicy-sparking-gosling.md
2,tests/python/*,fizzy-imagining-hinton.md | spicy-sparking-gosling.md
2,tests/supervisor/test_control_index_sync.py,clever-tickling-island.md | vast-wibbling-moon.md
2,tests/{format},cheeky-crafting-manatee.md | lively-leaping-elephant.md
2,tests/{format}/,cheeky-crafting-manatee.md | lively-leaping-elephant.md
2,tools/backfill,effervescent-sprouting-marshmallow.md | golden-foraging-boot.md
2,tools/backfill/,effervescent-sprouting-marshmallow.md | golden-foraging-boot.md
2,tools/capability_sync/run_sync.py,fizzy-imagining-hinton.md | glimmering-hopping-kazoo.md
2,tools/certification,glittery-splashing-manatee.md | precious-wandering-lighthouse.md
2,tools/certification/,glittery-splashing-manatee.md | precious-wandering-lighthouse.md
2,tools/governance/pre_mutation_guard.py,glimmering-hopping-kazoo.md | imperative-floating-book.md
2,tools/oracle,modular-noodling-galaxy.md | vast-wibbling-moon.md
2,tools/oracle/,modular-noodling-galaxy.md | vast-wibbling-moon.md
2,tools/supervisor/*.py,golden-foraging-boot.md | memoized-frolicking-donut.md
2,tools/supervisor/autonomous_task_generator.py,fizzy-imagining-hinton.md | splendid-squishing-orbit.md
2,tools/supervisor/capability_queue_consumer.py,kind-crunching-coral.md | silly-popping-tower.md
2,tools/supervisor/continuation_selector.py,polymorphic-foraging-feather.md | vast-wibbling-moon.md
2,tools/supervisor/control_index/__init__.py,clever-tickling-island.md | silly-popping-tower.md
2,tools/supervisor/control_index/schema.sql,clever-tickling-island.md | silly-popping-tower.md
2,tools/supervisor/control_index/sync.py,clever-tickling-island.md | silly-popping-tower.md
2,tools/supervisor/generate_supervisor_packet.py,bubbly-dancing-pony.md | glowing-swinging-grove.md
2,tools/supervisor/governance_validators_dotnet_semantic.py,mutable-exploring-hellman.md | splendid-squishing-orbit.md
2,tools/supervisor/governance_validators_ext2.py,glowing-swinging-grove.md | vast-wibbling-moon.md
2,tools/supervisor/grade_declared_work.py,clever-tickling-island.md | vast-wibbling-moon.md
2,tools/supervisor/grade_intermediate_verify.py,mutable-exploring-hellman.md | vast-wibbling-moon.md
2,tools/supervisor/inspect_declared_evidence.py,silly-popping-tower.md | vast-wibbling-moon.md
2,tools/supervisor/sprint_executor.py,glittery-splashing-manatee.md | vast-wibbling-moon.md
2,true/false,glittery-splashing-manatee.md | splendid-squishing-orbit.md
2,try/except,bubbly-dancing-pony.md | peppy-crafting-lark.md
2,validate_migration_safe.py,clever-tickling-island.md | effervescent-sprouting-marshmallow.md
2,writer.py,iterative-mixing-shannon.md | peppy-crafting-lark.md
2,xcf/xcf_image_metrics.py,fizzy-imagining-hinton.md | lively-leaping-elephant.md
2,zst/zst_codec.py,fizzy-imagining-hinton.md | lively-leaping-elephant.md
2,zst_codec.py,fizzy-imagining-hinton.md | lively-leaping-elephant.md
